"","province","district","jan","feb","mar","apr","may","june","july","aug","sept","oct","nov","dec"
"1","Western","Colombo",1693,767,235,30,189,294,324,231,192,151,59,92
"2","Western","Gampaha",1049,452,128,36,95,188,175,216,171,43,51,51
"3","Western","Kalutara",536,273,112,46,111,250,177,101,82,37,33,52
"4","Central","Kandy",674,290,114,36,230,449,595,406,275,205,115,43
"5","Central","Matale",276,110,44,9,23,25,36,19,15,14,14,10
"6","Central","Nuwara",77,28,16,1,2,11,14,9,8,1,0,1
"7","Southern","Galle",651,249,63,41,233,149,101,60,67,27,17,12
"8","Southern","Hambantota",156,78,24,6,11,15,24,17,12,10,6,9
"9","Southern","Matara",227,120,21,6,21,27,39,17,15,27,17,8
"10","Northern","Jaffna",1061,490,154,38,112,58,51,26,55,52,21,39
"11","Northern","Kilinochchi",64,31,8,1,1,11,6,3,1,3,5,1
"12","Northern","Mannar",90,25,2,1,1,3,8,3,1,0,0,3
"13","Northern","Vavuniya",139,72,15,5,4,4,7,2,1,0,2,1
"14","Northern","Mulativu",58,15,2,1,1,2,2,3,1,0,1,4
"15","Eastern","Batticaloa",1088,650,222,86,84,69,78,40,48,236,276,840
"16","Eastern","Ampara",152,88,39,3,6,10,5,4,3,3,5,0
"17","Eastern","Trincomalee",1455,569,143,40,33,13,17,5,3,5,5,8
"18","Eastern","Kalmunai",530,228,39,30,11,17,13,21,40,30,9,12
"19","North","Western",421,174,55,7,18,62,57,69,30,34,11,31
"20","North","Western",224,83,36,5,24,21,24,35,10,13,11,14
"21","North","central",184,95,44,8,9,26,19,9,12,11,6,10
"22","North","central",81,77,23,2,7,20,10,4,7,12,3,5
"23","Uva","Badulla",230,91,33,9,15,30,23,21,14,12,17,30
"24","Uva","Moneragala",0,0,0,0,0,0,0,0,0,0,0,0
"25","Sabaragamuwa","Ratnapura",296,206,69,47,223,398,381,174,90,65,47,18
"26","Sabaragamuwa","Kegalle",196,107,42,17,84,100,102,64,55,37,39,22
