"","province","district","jan","feb","mar","apr","may","june","july","aug","sept","oct","nov","dec"
"1","Western","Colombo",1225,792,815,579,866,1126,1857,1903,1462,2593,4217,3283
"2","Western","Gampaha",724,466,511,429,569,890,1760,2059,1515,2070,3154,2426
"3","Western","Kalutara",372,202,250,219,384,749,1136,1095,737,988,1310,953
"4","Central","Kandy",288,229,231,192,296,289,515,677,784,1502,2444,1493
"5","Central","Matale",62,54,58,17,30,54,60,73,62,275,902,798
"6","Central","Nuwara",26,17,12,7,19,22,33,31,32,52,97,90
"7","Southern","Galle",132,123,156,207,772,1155,1055,956,470,536,993,823
"8","Southern","Hambantota",140,91,80,81,109,124,272,271,199,224,263,195
"9","Southern","Matara",219,133,101,106,130,291,583,717,383,493,543,355
"10","Northern","Jaffna",900,454,268,161,123,59,90,110,154,538,2641,2763
"11","Northern","Kilinochchi",34,23,16,11,12,9,11,5,13,22,99,141
"12","Northern","Mannar",27,16,14,9,6,3,1,2,1,22,40,130
"13","Northern","Vavuniya",41,44,57,16,15,11,17,15,28,60,262,306
"14","Northern","Mulativu",47,31,12,3,10,1,10,7,1,18,56,72
"15","Eastern","Batticaloa",191,195,218,128,101,74,84,96,66,164,511,1020
"16","Eastern","Ampara",25,18,37,12,11,24,26,33,24,37,60,81
"17","Eastern","Trincomalee",157,106,164,148,108,97,105,52,45,85,536,1366
"18","Eastern","Kalmunai",107,94,115,92,67,48,29,33,29,46,372,497
"19","North","Western",215,147,148,119,121,134,259,263,195,350,612,655
"20","North","Western",79,60,52,29,33,92,137,150,159,355,624,487
"21","North","central",64,53,51,34,36,62,78,103,54,105,254,270
"22","North","central",39,19,25,21,23,40,49,43,36,51,108,107
"23","Uva","Badulla",79,68,73,45,41,88,113,144,126,230,490,425
"24","Uva","Moneragala",60,38,49,39,29,59,48,11,0,0,0,0
"25","Sabaragamuwa","Ratnapura",177,165,210,176,235,347,354,439,415,425,687,456
"26","Sabaragamuwa","Kegalle",150,98,109,90,114,171,215,258,317,332,494,368
